participant_ID,treatment,part,trial_no,setup_cost_red,setup_cost_blue,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,1.0,2.0,1.0,10.0,10.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,1.0,0.0,6016.71199999946
1.0,1.0,2.0,1.0,10.0,10.0,0.7,2,0,1.0,0,1,0,-1.0,0.7567567567567567,1.0,0.0,6733.373999999322
1.0,1.0,2.0,1.0,10.0,10.0,0.7,3,0,1.0,0,2,0,-1.0,0.8057553956834532,1.0,0.0,7383.4021999994275
1.0,1.0,2.0,1.0,10.0,10.0,0.7,4,0,1.0,0,3,0,-1.0,0.8468809073724007,1.0,0.0,8000.021399999504
1.0,1.0,2.0,1.0,10.0,10.0,0.7,5,0,1.0,0,4,0,-1.0,0.8805896805896806,1.0,0.0,8716.723099999597
1.0,1.0,2.0,1.0,10.0,10.0,0.7,6,1,1.0,0,5,0,-1.0,0.9076864632138787,1.0,0.0,9716.737599999706
1.0,1.0,2.0,2.0,5.0,5.0,0.3,1,0,0.0,0,0,0,-1.0,0.3,0.0,0.0,2699.906800000091
1.0,1.0,2.0,2.0,5.0,5.0,0.3,2,0,0.0,1,0,0,-1.0,0.24324324324324323,0.0,0.0,3249.8786000001605
1.0,1.0,2.0,2.0,5.0,5.0,0.3,3,0,0.0,2,0,0,-1.0,0.19424460431654675,0.0,0.0,3799.8815000001473
1.0,1.0,2.0,2.0,5.0,5.0,0.3,4,0,0.0,3,0,1,0.0,0.0,0.0,0.0,4333.175600000168
1.0,1.0,2.0,2.0,5.0,5.0,0.3,5,1,0.0,4,0,1,0.0,0.0,0.0,0.0,5099.795400000049
1.0,1.0,2.0,3.0,5.0,5.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,0.0,0.0,2516.707400000096
1.0,1.0,2.0,3.0,5.0,5.0,0.5,2,0,1.0,0,1,0,-1.0,0.5714285714285714,0.0,0.0,3150.061700000136
1.0,1.0,2.0,3.0,5.0,5.0,0.5,3,0,1.0,0,2,0,-1.0,0.64,0.0,0.0,3800.007700000097
1.0,1.0,2.0,3.0,5.0,5.0,0.5,4,0,1.0,0,3,0,-1.0,0.7032967032967032,0.0,0.0,4383.396900000084
1.0,1.0,2.0,3.0,5.0,5.0,0.5,5,0,1.0,0,4,0,-1.0,0.7596439169139465,0.0,0.0,4983.391999999804
1.0,1.0,2.0,3.0,5.0,5.0,0.5,6,1,0.0,0,5,0,-1.0,0.8082083662194158,0.0,0.0,5933.414499999823
1.0,1.0,2.0,4.0,10.0,10.0,0.9,1,0,0.0,0,0,0,-1.0,0.9,0.0,0.0,2466.805600000138
1.0,1.0,2.0,4.0,10.0,10.0,0.9,2,0,0.0,1,0,0,-1.0,0.8709677419354839,0.0,0.0,2983.512600000121
1.0,1.0,2.0,4.0,10.0,10.0,0.9,3,0,0.0,2,0,0,-1.0,0.8350515463917526,0.0,0.0,3500.147400000202
1.0,1.0,2.0,4.0,10.0,10.0,0.9,4,1,0.0,3,0,1,0.0,0.0,0.0,0.0,4333.430100000031
1.0,1.0,2.0,5.0,10.0,10.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,0.0,0.0,2333.2803999999883
1.0,1.0,2.0,5.0,10.0,10.0,0.5,2,0,0.0,0,1,0,-1.0,0.5714285714285714,0.0,0.0,2934.9865999999565
1.0,1.0,2.0,5.0,10.0,10.0,0.5,3,0,0.0,1,1,0,-1.0,0.49999999999999994,0.0,0.0,3584.986599999724
1.0,1.0,2.0,5.0,10.0,10.0,0.5,4,1,0.0,2,1,1,0.0,0.0,0.0,0.0,4434.953799999807
1.0,1.0,2.0,6.0,40.0,40.0,0.5,1,0,1.0,0,0,0,-1.0,0.5,1.0,0.0,2550.0181000000443
1.0,1.0,2.0,6.0,40.0,40.0,0.5,2,0,0.0,0,1,0,-1.0,0.5714285714285714,1.0,0.0,3533.307000000006
1.0,1.0,2.0,6.0,40.0,40.0,0.5,3,0,1.0,1,1,0,-1.0,0.49999999999999994,1.0,0.0,4199.9661000000315
