,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
0,1,bayes_306996CF7Z6S7V8JTSXQ8SCMJJ9B10_AL8KOIH1DJ7D9_31Q0U3WYDT18S32N6DQCSALCXHW71B_results.,500.0,7157.11841733329,4258.131955999977,4175.394625999974
1,2,bayes_307L9TDWK1EQI7BVJMGINGRDYRX3N3_A34LAVR18EPIH5_3QEMNNSB21L2KYIZM6A7TCMLMDM7DM_results.,380.0,27290.793906666375,20252.166983999927,14007.89145400007
2,3,bayes_308KJXFUKUSOX5F0PXH4JNBBTNUTAH_ANKDLLQHHM2OH_3FTF2T8WLV457N6JIYDHZW2CORCW98_results.,500.0,11915.948452000022,6935.851228000149,5862.74212799991
3,4,bayes_30UZJB2PPKYMSI5PFMKWTZRR79Q35C_AX4U4ZJJQKKMS_3X4MXAO0BKABBN25CFD3QH26UDJWRW_results.,488.0,8411.767444000041,3743.310084000029,3604.198373999977
4,5,bayes_30ZKOOGW3ZSNOL3RNEXUDHSG4CUA1Z_A3O9RBTIA905PK_33CID57108F3HR54XB55Z8IADM4L34_results.,373.0,13466.992756000021,10986.308396000071,6787.2504460000955
5,6,bayes_31S7M7DAHJC5TO64MO6US1RMQ6VLTA_A243X2Y9HP7630_3KKG4CDWKMKTYLNZ8S7Y44JLRL749L_results.,375.0,30858.99246133471,6776.399531999786,6836.523701999664
6,7,bayes_32204AGABEYZ2N18B3SP1QJQJW0GHD_ALK9XZBTNDAUH_36U2A8VAG5LTDOKA1WMUA218XIAKYC_results.,375.0,12993.068496000062,4703.93422000008,2682.2241439998406
7,8,bayes_324N5FAHT0X9MASB6JU8EJ2SXSLKV2_APGX2WZ59OWDN_3K5TEWLKGZXL3ZZHWIEYQNI1GJFIVN_results.,388.0,10112.78903200034,11534.681399999803,8879.267212000037
8,9,bayes_324N5FAHT0X9MASB6JU8EJ2SXSLVKD_A2W3SU4RZN9AZD_3TMSXRD2XAMNII3OELYOKQKT6TW1WK_results.,500.0,11896.852948000073,6391.43552000031,6054.265370000004
9,10,bayes_335VBRUREMM833NY7WE9O60QN8F9EB_A1J4AZL6MZ675U_3QECW5O0KLNUEJ0DK3VP0WQBMOAT5L_results.,465.0,12697.666720000014,11876.475920000006,9701.523479999945
10,11,bayes_338431Z1GO10JUW9VRHRK3UYXNKROV_A9ZM1P6LBW79_384PI804XWNU4C1XYXKN9WYY1200S5_results.,374.0,13854.005020000262,7975.977956000774,6277.507886000218
11,12,bayes_33BFF6QPJ4XG51K9BN75JZ44ROD3WC_A24RCKH0Q3GMQY_340UGXU9D2NQCQUHQZ3C9Q6CXMKUVS_results.,314.0,7839.637546666698,10452.101519999991,9486.696479999977
