participant_ID,task_3,task_2,task_1
1,42500,17500,21000
2,50500,23500,21000
3,41500,18500,22000
4,43500,23500,23000
5,43500,23500,18000
6,38500,21500,20000
7,35500,20500,20000
8,48500,25500,19000
9,41500,20500,21000
10,46500,24500,19000
11,40500,24500,17000
12,43500,23500,21000
13,42500,19500,15000
14,35500,18500,20000
15,44500,21500,22000
16,38500,21500,23000
17,42500,21500,22000
18,48500,24500,22000
19,46500,19500,23000
20,39500,21500,21000
21,47500,21500,22000
22,40500,20500,22000
23,49500,24500,21000
24,47500,25500,18000
25,41500,21500,23000
26,42500,22500,24000
27,47500,25500,20000
28,49500,24500,19000
29,47500,23500,22000
30,48500,21500,23000
31,38500,18500,22000
32,47500,23500,20000
33,26500,10500,19000
34,34500,20500,21000
35,49500,24500,20000
36,36500,19500,20000
37,44500,22500,12000
38,45500,23500,19000
39,45500,21500,18000
40,44500,23500,17000
41,36500,18500,22000
42,47500,23500,23000
43,47500,23500,13000
44,48500,23500,22000
45,48500,23500,22000
46,37500,15500,15000
47,39500,23500,20000
48,45500,19500,22000
49,37500,17500,19000
50,42500,24500,20000
51,45500,23500,22000
52,43500,25500,22000
53,48500,23500,24000
54,44500,22500,19000
55,47500,21500,19000
56,40500,23500,16000
57,39500,17500,17000
58,46500,25500,18000
59,36500,17500,12000
60,47500,22500,19000
61,45500,22500,21000
62,44500,20500,21000
63,36500,19500,17000
64,47500,24500,23000
65,40500,18500,21000
66,48500,23500,21000
67,38500,21500,19000
68,43500,22500,17000
69,38500,24500,23000
70,42500,20500,24000
71,47500,20500,21000
72,42500,20500,19000
73,35500,22500,19000
74,49500,25500,22000
75,47500,23500,21000
76,44500,24500,18000
77,29500,24500,20000
78,44500,22500,22000
79,47500,25500,23000
80,49500,23500,18000
81,49500,24500,21000
82,36500,20500,20000
83,41500,23500,16000
84,48500,24500,18000
85,44500,23500,20000
86,47500,24500,21000
87,48500,22500,18000
88,48500,24500,18000
89,43500,22500,20000
90,47500,22500,23000
91,47500,24500,20000
92,47500,24500,21000
93,44500,21500,21000
94,46500,22500,23000
95,39500,21500,22000
96,42500,24500,21000
