participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,1.0,1.0,1.0,7.0,0.3,1,0,1.0,0,0,0,-1.0,0.3,1.0,1.0,6982.583333333359
1.0,1.0,1.0,1.0,7.0,0.3,2,0,1.0,0,1,0,-1.0,0.36363636363636365,1.0,1.0,8715.9586333334
1.0,1.0,1.0,1.0,7.0,0.3,3,0,0.0,0,2,0,-1.0,0.43243243243243246,1.0,1.0,11582.72963333332
1.0,1.0,1.0,1.0,7.0,0.3,4,0,0.0,1,2,0,-1.0,0.36363636363636365,1.0,1.0,12117.71743333324
1.0,1.0,1.0,1.0,7.0,0.3,5,0,1.0,2,2,0,-1.0,0.3,1.0,1.0,12634.38613333322
1.0,1.0,1.0,1.0,7.0,0.3,6,0,1.0,2,3,0,-1.0,0.36363636363636365,1.0,1.0,13151.0466333332
1.0,1.0,1.0,1.0,7.0,0.3,7,0,1.0,2,4,1,1.0,1.0,1.0,1.0,13967.7856333332
1.0,1.0,1.0,1.0,7.0,0.3,8,1,1.0,2,5,1,1.0,1.0,1.0,1.0,15467.767933333162
1.0,1.0,1.0,2.0,1.0,0.5,1,0,0.0,0,0,0,-1.0,0.5,0.0,0.0,3683.28879999995
1.0,1.0,1.0,2.0,1.0,0.5,2,1,0.0,1,0,0,-1.0,0.42857142857142855,0.0,0.0,5385.007499999874
1.0,1.0,1.0,3.0,9.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,2866.677000000077
1.0,1.0,1.0,3.0,9.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,3566.676300000067
1.0,1.0,1.0,3.0,9.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,1.0,1.0,4066.7692000000734
1.0,1.0,1.0,3.0,9.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,1.0,1.0,4733.450400000103
1.0,1.0,1.0,3.0,9.0,0.1,5,0,1.0,0,4,1,1.0,1.0,1.0,1.0,5266.878400000061
1.0,1.0,1.0,3.0,9.0,0.1,6,0,1.0,0,5,1,1.0,1.0,1.0,1.0,5783.5118000000475
1.0,1.0,1.0,3.0,9.0,0.1,7,0,1.0,0,6,1,1.0,1.0,1.0,1.0,6833.456399999899
1.0,1.0,1.0,3.0,9.0,0.1,8,0,1.0,0,7,1,1.0,1.0,1.0,1.0,7500.09329999992
1.0,1.0,1.0,3.0,9.0,0.1,9,0,1.0,0,8,1,1.0,1.0,1.0,1.0,8349.924999999941
1.0,1.0,1.0,3.0,9.0,0.1,10,1,1.0,0,9,1,1.0,1.0,1.0,1.0,9166.666399999916
1.0,1.0,1.0,4.0,1.0,0.3,1,0,1.0,0,0,0,-1.0,0.3,1.0,1.0,1401.680700000119
1.0,1.0,1.0,4.0,1.0,0.3,2,1,1.0,0,1,0,-1.0,0.36363636363636365,1.0,1.0,3651.772600000218
1.0,1.0,1.0,5.0,5.0,0.7,1,0,0.0,0,0,0,-1.0,0.7,0.0,1.0,2450.0634000000664
1.0,1.0,1.0,5.0,5.0,0.7,2,0,0.0,1,0,0,-1.0,0.6363636363636362,0.0,1.0,3450.0815000001703
1.0,1.0,1.0,5.0,5.0,0.7,3,0,0.0,2,0,0,-1.0,0.5675675675675674,0.0,1.0,4183.449600000098
1.0,1.0,1.0,5.0,5.0,0.7,4,0,0.0,3,0,0,-1.0,0.4960629921259841,0.0,1.0,4950.066700000044
