participant_ID,treatment,part,trial_no,rounds,red_prior_prob,true_guilty_suspect,suspect_accused,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,outcome_1,outcome_2,outcome_3,outcome_4,outcome_5,outcome_6,outcome_7,outcome_8,outcome_9,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,correct_suspect_accused,evidence_round
1,1,1,1,7.0,0.3,1,1,1.0,1.0,0.0,0.0,1.0,1.0,1.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,6982.583333333359,8715.9586333334,11582.72963333332,12117.71743333324,12634.38613333322,13151.0466333332,13967.7856333332,15467.767933333162,18059.49173333324,,,1,6
1,1,1,2,1.0,0.5,0,0,0.0,,,,,,,,,0.0,,,,,,,,,3683.28879999995,5385.007499999874,7544.994800000009,,,,,,,,,1,0
1,1,1,3,9.0,0.1,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2866.677000000077,3566.676300000067,4066.7692000000734,4733.450400000103,5266.8784000000605,5783.5118000000475,6833.456399999899,7500.09329999992,8349.924999999941,9166.666399999916,10576.69289999977,1,4
1,1,1,4,1.0,0.3,1,1,1.0,,,,,,,,,0.0,,,,,,,,,1401.680700000119,3651.772600000218,5346.67580000029,,,,,,,,,1,0
1,1,1,5,5.0,0.7,0,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,2450.0634000000664,3450.0815000001703,4183.449600000098,4950.066700000044,5766.807300000063,6700.1987000000045,8260.22119999999,,,,,0,0
1,1,1,6,9.0,0.3,1,1,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1183.226499999932,2533.2131999997478,3199.875199999765,3966.448999999749,4583.171599999794,5166.5174999997635,5733.153799999735,6266.518899999714,6866.573499999751,7499.926299999767,8943.30959999971,1,3
1,1,1,7,7.0,0.7,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1150.0445999999824,1933.351400000107,2683.3472000000993,3433.294700000061,4183.295200000137,5066.6062000001975,5716.5404000001745,6733.313200000222,8294.923500000179,,,1,7
1,1,1,8,5.0,0.1,1,1,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,,,,,3366.6418999999933,4083.292599999965,4816.630299999904,5483.256399999873,6283.330899999847,7249.991299999874,8461.671399999868,,,,,1,0
1,1,1,9,1.0,0.1,1,1,0.0,,,,,,,,,0.0,,,,,,,,,1549.9772000002142,2549.992100000207,3743.3693000002413,,,,,,,,,1,0
1,1,1,10,3.0,0.7,1,0,1.0,1.0,1.0,,,,,,,0.0,0.0,0.0,,,,,,,1800.0224000000628,2600.0300000001557,3433.345500000189,4216.652900000174,5459.923700000146,,,,,,,0,0
