,participant_ID,csv,total_bonus_paid_cents,part1_average,part2_average,part3_average
0,1,bayes_37SDSEDIOCO95XACQGDGHQMLEZU81F_A3JVOMZOZ81R1S_3F6KKYWMNFNRNJAM2DRWP98BCADDNF_results.,482.0,8881.740952,6230.323115999865,4895.680321999986
1,2,bayes_3O0M2G5VD9OQB1Q5IQ2WFKOZALV49E_A37APUTJ10ZETN_352YTHGROZZMDR5I64VQHLH9CKOH47_results.,486.0,14632.900896000034,9762.20703199996,7275.63671999996
2,3,bayes_33J5JKFML9KBL4ONZE8ZRAMI7O53QN_A23UFMROYX2TZC_3K2755HG5WPFZRX54P8JH4Z3IZGFD5_results.,500.0,8416.94000000002,3501.28,3092.748
3,4,bayes_362E9TQF3KCZYICSHLAA12K5K92GIU_A7P324L1TFL19_30H4UDGLT64UUYSCVL3RCO01SXLMPE_results.,479.0,9092.559880000024,8873.497507999935,6651.846751999895
4,5,bayes_39TX062QY4AVU1PZLS3RLIIB4WR3XT_AH31KYC8IKTZZ_3KYQYYSHYZT954AY3SR94Y8HBXPODD_results.,419.0,18280.325567999884,13229.963483999949,8766.877450000193
5,6,bayes_36818Z1KW6ZJYOH6AIBD1A7D2WG3AS_A39L5W9N08RN33_3WQQ9FUS6EGD5FPYIFB7CMUGHANB8W_results.,475.0,10003.181911999991,5371.130659999922,7883.848095999957
6,7,bayes_3QMELQS6Z8XAUOQ5VVVX3387C47R6L_A2L1AU0WWRB177_3DQQ64TANK7QZAMQZN9ELM2RJYBWPG_results.,325.0,12107.675680000013,9379.515119999922,6098.078679999984
7,8,bayes_3KQC8JMJHFEY8BPKGOL5IWUHE3XH3V_A304JFG8AJM7U6_3CFVK00FWP72EASMGD336BUUHPT6L0_results.,490.0,11649.634308000032,7142.802412000035,4982.286400000045
8,9,bayes_3SD15I2WE5GIBM53K5U1L55R5DK36V_A1BZNPQ0H7ZSER_3QILPRALQ9HF6OEVL5GG3HUARF18N7_results.,496.0,7760.1481999999505,4044.3466919999337,5324.8465539998815
9,10,bayes_33EEIIWHLATVXDQ6JOE5A5E1YAFQVS_A1M3HU7RRX0BXZ_3FUI0JHJP1KM1NFFR5153MOUPD8337_results.,375.0,11944.53396799989,6576.7232600000125,3418.557703999952
10,11,bayes_3SD15I2WE5GIBM53K5U1L55R50C630_A2Z75NJBZ46RE9_3T3IWE1XGA9J75JB4VJSY7L2DKKTQG_results.,371.0,12189.647527999461,10635.709804000033,7748.503971999747
11,12,bayes_39N6W9XWSG9LOIRXL3WDNQET93DYGG_A2H8HVANGF4A58_3PDJHANYK920SE9WPSO5EJ1N9YQH6Z_results.,375.0,10095.957975999952,4231.937811999935,2297.0831399999824
12,13,bayes_3OYHVNTV6WKEWQJE578UJR8K3EGOKS_A3Q4IMJ0LCLNPY_3B837J3LDSII46LWSA32TSZMNWBRST_results.,484.0,32881.37007733246,31129.566800000477,12016.165966000286
13,14,bayes_31ODACBEOX1F5L92PT90ZIUUZRASQK_A33DJL9BYFCNDB_3DIP6YHAPGEBCI1IS6DXDU02TYM8E8_results.,477.0,10437.985572000061,12705.254475999809,10729.83778999982
14,15,bayes_3WKGUBL7T28LC3RE7N5MKTFUBKT4L3_A1PROY06KPZ2LK_3P59JYT76P62FMHQ2KTR2PN0DWWT2A_results.,375.0,16476.92178800002,8535.264487999997,5904.5722020001085
15,16,bayes_3GS542CVKY987KU5WVL6KCUDBRA95T_A2VU7KJ5LAEGJ0_3HUTX6F6VY9M2UCI637S8FHDFODO2I_results.,366.0,17265.24704799978,13044.148948000104,12872.067114000223
16,17,bayes_3TTPFEFXDW6X5UC2ZQJ3PZ61PHGH6T__ASSIGNMENT_ID_NOT_AVAILABLE_results.,366.0,21027.05868799994,16193.324019999876,12419.531965999773
17,18,bayes_3OLZC0DJ9M1IGF2N6G9W13NF50DIVU_A22AESRVRWWDGQ_3UJ1CZ6IZLBTZJNYV3QZQRUPD2K5SJ_results.,500.0,17916.00228000007,9443.406996000005,4773.005467999726
18,19,bayes_3YO4AH2FQG6F4CPQGRQGPCOB4E4Q02_A3RXATC19YIOY9_3GU1KF0O4MNYB7OF4WDIY8P7HVEPBK_results.,366.0,10123.04339199999,13075.968444000035,6340.9254980000605
19,20,bayes_366FYU4PUJBSKZ6PBT5YEFE6YBRKEY_A24O1A7JEMWEAM_3R8YZBNQ9L4W97M4RSGRTBTKW8SQ7E_results.,355.0,17899.02611999995,21142.010928000178,5226.852535333426
20,21,bayes_3CRWSLD92NQ9MEJHQJLAY40OSBPMOT_A3OOD9IMOHPPFQ_3JCG6DTRV7C6FPRJNRPXT2AG7Q1QQL_results.,370.0,14610.35968399978,11933.438567999989,10218.318246000092
21,22,bayes_3ROUCZ908IGXMH4T3Z0NQ8PTMIPOO8_A33Z6BHAJUGCHY_3IXQG4FA2XKDJK88N7HLCIPR576B98_results.,500.0,8123.122516000065,4517.931036000063,4130.247646000042
22,23,bayes_37VE3DA4ZX33B6TXVH0B0FST42TBHF_A10Y9XMLTDG0FU_3TOK3KHVJX4TOV9OCFON46YLQIMO7D_results.,472.0,12527.081132000038,9445.32008799978,6878.54148000007
23,24,bayes_3Y3CZJSZANFEBKQRQCLSBXU7G9WR55_A2EZ47VELNHGC6_3VHP9MDGRR65UZRR4TD8XYHKPA5CFF_results.,493.0,12787.718956000033,8939.095191999993,9583.675916000155
24,25,bayes_3KG2UQJ0NMAIP8HXHXSE0OKOCCFNQK_A38N05VH5344HC_3COPXFW7XFYZ4AS9A9QBXB8X6U1PKU_results.,315.0,11952.39588799996,9940.32335733336,7950.19025266656
25,26,bayes_3P458N04R4369JTGHSPM28DJXHGX2Y_A3191G66DZEGEB_3VZLGYJEYPWZ2ETMW132E3IC37PZXF_results.,353.0,11030.833992000003,9066.198673334033,7844.672428000114
