trial_no,block_name,setup_cost,setup_cost_investigate_red,setup_cost_investigate_blue,red_prior_prob,guilty_suspect_chosen,timing_valid,timing_error,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10,choice_11,choice_12,choice_13,choice_14,choice_15,choice_16,choice_17,choice_18,choice_19,choice_20,choice_21,choice_22,choice_23,choice_24,choice_25,choice_26,choice_27,choice_28,choice_29,choice_30,choice_31,choice_32,choice_33,choice_34,choice_35,choice_36,choice_37,choice_38,choice_39,choice_40,choice_41,choice_42,choice_43,choice_44,choice_45,choice_46,choice_47,choice_48,choice_49,choice_50,choice_51,choice_52,choice_53,choice_54,choice_55,choice_56,choice_57,choice_58,choice_59,choice_60,choice_61,choice_62,timing_choice_1,timing_choice_2,timing_choice_3,timing_choice_4,timing_choice_5,timing_choice_6,timing_choice_7,timing_choice_8,timing_choice_9,timing_choice_10,timing_choice_11,timing_choice_12,timing_choice_13,timing_choice_14,timing_choice_15,timing_choice_16,timing_choice_17,timing_choice_18,timing_choice_19,timing_choice_20,timing_choice_21,timing_choice_22,timing_choice_23,timing_choice_24,timing_choice_25,timing_choice_26,timing_choice_27,timing_choice_28,timing_choice_29,timing_choice_30,timing_choice_31,timing_choice_32,timing_choice_33,timing_choice_34,timing_choice_35,timing_choice_36,timing_choice_37,timing_choice_38,timing_choice_39,timing_choice_40,timing_choice_41,timing_choice_42,timing_choice_43,timing_choice_44,timing_choice_45,timing_choice_46,timing_choice_47,timing_choice_48,timing_choice_49,timing_choice_50,timing_choice_51,timing_choice_52,timing_choice_53,timing_choice_54,timing_choice_55,timing_choice_56,timing_choice_57,timing_choice_58,timing_choice_59,timing_choice_60,timing_choice_61,timing_choice_62,evidence_red_1,evidence_red_2,evidence_red_3,evidence_red_4,evidence_red_5,evidence_red_6,evidence_red_7,evidence_red_8,evidence_red_9,evidence_red_10,evidence_red_11,evidence_red_12,evidence_red_13,evidence_red_14,evidence_red_15,evidence_red_16,evidence_red_17,evidence_red_18,evidence_red_19,evidence_red_20,evidence_red_21,evidence_red_22,evidence_red_23,evidence_red_24,evidence_red_25,evidence_red_26,evidence_red_27,evidence_red_28,evidence_red_29,evidence_red_30,evidence_blue_1,evidence_blue_2,evidence_blue_3,evidence_blue_4,evidence_blue_5,evidence_blue_6,evidence_blue_7,evidence_blue_8,evidence_blue_9,evidence_blue_10,evidence_blue_11,evidence_blue_12,evidence_blue_13,evidence_blue_14,evidence_blue_15,evidence_blue_16,evidence_blue_17,evidence_blue_18,evidence_blue_19,evidence_blue_20,evidence_blue_21,evidence_blue_22,evidence_blue_23,evidence_blue_24,evidence_blue_25,evidence_blue_26,evidence_blue_27,evidence_blue_28,evidence_blue_29,evidence_blue_30,num_evidences_total,final_evidence,suspect_accused,correct_suspect_accused,bonus_earned,trial_chosen_for_bonus,total_bonus_paid_cents
1,part1-guilty,3,,,0.1,blue,true,,investigate_blue,investigate_blue,investigate_blue,accuse_blue,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6084.960899999891,12801.690600000366,17468.50680000035,20765.89010000039,24447.4633000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,blue,true,,,
2,part1-guilty,1,,,0.5,blue,true,,investigate_red,accuse_blue,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5403.629700000177,15767.304800000307,20683.750000000437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,blue,true,,,
3,part1-guilty,1,,,0.3,blue,true,,investigate_blue,accuse_blue,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3772.860499999984,7838.336199999959,9722.494899999878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,blue,true,,,
4,part1-guilty,1,,,0.9,red,true,,investigate_red,accuse_red,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3090.233999999802,5821.711699999744,7439.844799999797,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,red,true,,,
5,part1-guilty,5,,,0.7,blue,true,,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,accuse_red,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2306.4492999998274,4190.826899999889,4890.5469999999805,5573.67969999993,6489.840799999914,8205.390399999911,10871.420099999774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,red,false,,,
6,part1-guilty,5,,,0.3,blue,true,,investigate_blue,investigate_blue,investigate_blue,investigate_blue,investigate_blue,accuse_blue,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2307.4912999999297,3707.6915999999915,4224.520499999928,4824.300199999935,5457.952799999977,6957.375799999913,8407.524300000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,blue,true,,,
7,part1-guilty,3,,,0.7,red,true,,investigate_red,investigate_red,investigate_red,accuse_red,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2387.9180999999,3421.6481999998455,4138.291799999797,5352.824299999848,7205.053199999919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,red,true,,,
8,part1-guilty,9,,,0.7,red,true,,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,accuse_blue,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2103.9840000000017,2937.556600000044,3453.3029000000365,3986.152300000032,4552.613800000066,5052.8555000000915,5635.865000000108,6203.079500000202,9119.397300000137,12353.485200000092,13687.990000000127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,blue,false,,,
9,part1-guilty,9,,,0.9,red,true,,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,investigate_red,accuse_red,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2674.301699999922,3441.130899999993,4258.074099999972,4841.696699999926,5357.032699999945,6157.030299999927,6657.489199999969,7158.0260999999355,8058.940900000057,9258.20420000011,10406.306000000051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,red,true,,,
10,part1-guilty,9,,,0.5,red,true,,investigate_red,investigate_red,investigate_blue,investigate_blue,investigate_red,investigate_blue,investigate_red,investigate_blue,investigate_red,accuse_red,advance_to_next_trial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2972.386000000117,3805.1135000001545,5571.700900000129,6155.337900000105,7372.394600000119,7938.925600000112,8554.84860000016,9238.075000000123,9854.383800000176,12836.887300000166,14004.521400000156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0,red,true,,,
