participant_ID,treatment,part,trial_no,setup_cost_red,setup_cost_blue,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,1.0,0,4,0,-1.0,0.2598984771573604,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,1.0,0,5,0,-1.0,0.31890376829648087,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,1.0,0,6,0,-1.0,0.3843483156610678,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,1,1.0,0,7,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,1.0,0,4,0,-1.0,0.2598984771573604,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,1.0,0,5,0,-1.0,0.31890376829648087,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,1.0,0,6,0,-1.0,0.3843483156610678,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,0,1.0,0,7,0,-1.0,0.45426567222114395,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,9,0,1.0,0,8,0,-1.0,0.5260344343219489,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,10,0,1.0,0,9,0,-1.0,0.5967433887787367,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,11,1,1.0,0,10,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,1.0,0,4,0,-1.0,0.2598984771573604,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,1.0,0,5,0,-1.0,0.31890376829648087,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,0,1.0,0,6,0,-1.0,0.3843483156610678,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,8,0,1.0,0,7,0,-1.0,0.45426567222114395,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,9,0,1.0,0,8,0,-1.0,0.5260344343219489,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,10,1,1.0,0,9,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,1,1.0,0,1,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,1,1.0,0,2,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,1,1.0,0,2,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,5,0,1.0,0,4,0,-1.0,0.2598984771573604,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,6,0,1.0,0,5,0,-1.0,0.31890376829648087,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,7,1,1.0,0,6,1,1.0,1.0,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,0
0.0,0.0,2.0,0.0,5.0,5.0,0.1,2,1,1.0,0,1,1,1.0,1.0,1.0,1.0,0
