participant_ID,treatment,part,trial_no,rounds,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,0.0,1.0,1.0,3.0,0.9,1,0,0.0,0,0,0,-1.0,0.9,0.0,0.0,6902.423399972739
1.0,0.0,1.0,1.0,3.0,0.9,2,0,0.0,1,0,0,-1.0,0.8709677419354839,0.0,0.0,7402.423399972749
1.0,0.0,1.0,1.0,3.0,0.9,3,0,0.0,2,0,0,-1.0,0.8350515463917525,0.0,0.0,7902.424799972754
1.0,0.0,1.0,1.0,3.0,0.9,3,1,0.0,3,0,0,-1.0,0.7915309446254071,0.0,0.0,7902.424799972754
1.0,0.0,1.0,2.0,3.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,3208.782500000052
1.0,0.0,1.0,2.0,3.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307694,1.0,1.0,3792.1975000000707
1.0,0.0,1.0,2.0,3.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764726,1.0,1.0,4325.605500000088
1.0,0.0,1.0,2.0,3.0,0.1,3,1,1.0,3,0,0,-1.0,0.044776119402985086,1.0,1.0,4325.605500000088
1.0,0.0,1.0,3.0,1.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,1275.3941000000086
1.0,0.0,1.0,3.0,1.0,0.1,1,1,1.0,1,0,0,-1.0,0.07692307692307694,1.0,1.0,1275.3941000000086
1.0,0.0,1.0,4.0,7.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,2408.670500000018
1.0,0.0,1.0,4.0,7.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307694,1.0,1.0,2908.740500000036
1.0,0.0,1.0,4.0,7.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764726,1.0,1.0,3492.1554999999935
1.0,0.0,1.0,4.0,7.0,0.1,4,0,0.0,3,0,0,-1.0,0.044776119402985086,1.0,1.0,3992.225500000007
1.0,0.0,1.0,4.0,7.0,0.1,5,0,0.0,4,0,0,-1.0,0.03396226415094341,1.0,1.0,4492.29550000002
1.0,0.0,1.0,4.0,7.0,0.1,6,0,0.0,5,0,0,-1.0,0.025689819219790685,1.0,1.0,5009.034499999993
1.0,0.0,1.0,4.0,7.0,0.1,7,0,0.0,6,0,0,-1.0,0.019391908067991386,1.0,1.0,5525.773499999971
1.0,0.0,1.0,4.0,7.0,0.1,7,1,1.0,7,0,0,-1.0,0.014614783183977869,1.0,1.0,5525.773499999971
1.0,0.0,1.0,5.0,5.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,1941.9385000000304
1.0,0.0,1.0,5.0,5.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307694,1.0,1.0,2508.684500000055
1.0,0.0,1.0,5.0,5.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764726,1.0,1.0,3008.754500000004
1.0,0.0,1.0,5.0,5.0,0.1,4,0,0.0,3,0,0,-1.0,0.044776119402985086,1.0,1.0,3508.824500000022
1.0,0.0,1.0,5.0,5.0,0.1,5,0,0.0,4,0,0,-1.0,0.03396226415094341,1.0,1.0,4042.232500000043
1.0,0.0,1.0,5.0,5.0,0.1,5,1,1.0,5,0,0,-1.0,0.025689819219790685,1.0,1.0,4042.232500000043
1.0,0.0,1.0,6.0,9.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,0.0,0.0,2592.029500000021
1.0,0.0,1.0,6.0,9.0,0.7,2,0,1.0,0,1,0,-1.0,0.6363636363636362,0.0,0.0,3158.775500000028
1.0,0.0,1.0,6.0,9.0,0.7,3,0,1.0,0,2,0,-1.0,0.5675675675675675,0.0,0.0,3725.7315999999987
1.0,0.0,1.0,6.0,9.0,0.7,4,0,1.0,0,3,0,-1.0,0.4960629921259842,0.0,0.0,4292.477599999993
1.0,0.0,1.0,6.0,9.0,0.7,5,0,1.0,0,4,0,-1.0,0.42471910112359545,0.0,0.0,4925.899599999962
1.0,0.0,1.0,6.0,9.0,0.7,6,0,1.0,0,5,0,-1.0,0.3563796354494028,0.0,0.0,5525.983599999972
1.0,0.0,1.0,6.0,9.0,0.7,7,0,1.0,0,6,0,-1.0,0.29342763498361213,0.0,0.0,6092.729599999934
1.0,0.0,1.0,6.0,9.0,0.7,8,0,1.0,0,7,0,-1.0,0.23749243728766223,0.0,0.0,6692.8135999999295
1.0,0.0,1.0,6.0,9.0,0.7,9,0,1.0,0,8,0,-1.0,0.18936236007174215,0.0,0.0,7292.897599999937
1.0,0.0,1.0,6.0,9.0,0.7,9,1,0.0,0,9,0,-1.0,0.14907927068760116,0.0,0.0,7292.897599999937
1.0,0.0,1.0,7.0,1.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,1.0,0.0,975.1365000000276
1.0,0.0,1.0,7.0,1.0,0.7,1,1,0.0,0,1,0,-1.0,0.6363636363636362,1.0,0.0,975.1365000000276
1.0,0.0,1.0,8.0,7.0,0.3,1,0,0.0,0,0,0,-1.0,0.3,1.0,1.0,1858.8706999999679
1.0,0.0,1.0,8.0,7.0,0.3,2,0,0.0,1,0,0,-1.0,0.2432432432432432,1.0,1.0,2392.2786999999867
1.0,0.0,1.0,8.0,7.0,0.3,3,0,0.0,2,0,0,-1.0,0.19424460431654672,1.0,1.0,2925.68669999994
1.0,0.0,1.0,8.0,7.0,0.3,4,0,0.0,3,0,0,-1.0,0.1531190926275992,1.0,1.0,3442.4256999999575
1.0,0.0,1.0,8.0,7.0,0.3,5,0,0.0,4,0,0,-1.0,0.11941031941031938,1.0,1.0,3942.495699999978
1.0,0.0,1.0,8.0,7.0,0.3,6,0,0.0,5,0,0,-1.0,0.09231353678612127,1.0,1.0,4442.565699999952
1.0,0.0,1.0,8.0,7.0,0.3,7,0,0.0,6,0,0,-1.0,0.07087073463171195,1.0,1.0,4975.973699999933
1.0,0.0,1.0,8.0,7.0,0.3,7,1,1.0,7,0,0,-1.0,0.054111786488960714,1.0,1.0,4975.973699999933
1.0,0.0,1.0,9.0,9.0,0.1,1,0,0.0,0,0,0,-1.0,0.1,1.0,1.0,1860.2604000000013
1.0,0.0,1.0,9.0,9.0,0.1,2,0,0.0,1,0,0,-1.0,0.07692307692307694,1.0,1.0,2577.027400000027
1.0,0.0,1.0,9.0,9.0,0.1,3,0,0.0,2,0,0,-1.0,0.058823529411764726,1.0,1.0,3160.442399999982
1.0,0.0,1.0,9.0,9.0,0.1,4,0,0.0,3,0,0,-1.0,0.044776119402985086,1.0,1.0,3694.100099999936
1.0,0.0,1.0,9.0,9.0,0.1,5,0,0.0,4,0,0,-1.0,0.03396226415094341,1.0,1.0,4227.508099999948
