participant_ID,treatment,part,trial_no,setup_cost_red,setup_cost_blue,red_prior_prob,current_rounds,action_type,suspect,count_red_samples,count_blue_samples,evidence_found,evidence_suspect,posterior,true_guilty_suspect,suspect_accused,time
1.0,0.0,3.0,1.0,4.0,6.0,0.7,1,0,1.0,0,0,0,-1.0,0.7,0.0,0.0,5042.64420000003
1.0,0.0,3.0,1.0,4.0,6.0,0.7,2,0,0.0,0,1,0,-1.0,0.7567567567567567,0.0,0.0,8126.4092
1.0,0.0,3.0,1.0,4.0,6.0,0.7,3,0,0.0,1,1,0,-1.0,0.7,0.0,0.0,8776.500199999993
1.0,0.0,3.0,1.0,4.0,6.0,0.7,4,0,0.0,2,1,0,-1.0,0.6363636363636362,0.0,0.0,9276.570199999936
1.0,0.0,3.0,1.0,4.0,6.0,0.7,5,0,0.0,3,1,0,-1.0,0.5675675675675674,0.0,0.0,9776.640199999898
1.0,0.0,3.0,1.0,4.0,6.0,0.7,6,0,0.0,4,1,0,-1.0,0.4960629921259841,0.0,0.0,10326.717199999945
1.0,0.0,3.0,1.0,4.0,6.0,0.7,7,0,0.0,5,1,0,-1.0,0.42471910112359534,0.0,0.0,10876.794199999913
1.0,0.0,3.0,1.0,4.0,6.0,0.7,8,0,0.0,6,1,0,-1.0,0.35637963544940277,0.0,0.0,11376.864199999962
1.0,0.0,3.0,1.0,4.0,6.0,0.7,9,1,0.0,7,1,0,-1.0,0.2934276349836121,0.0,0.0,12593.701199999796
1.0,0.0,3.0,2.0,16.0,24.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,2377.2523999999507
1.0,0.0,3.0,2.0,16.0,24.0,0.1,2,1,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,3277.378400000029
1.0,0.0,3.0,3.0,6.0,4.0,0.5,1,0,0.0,0,0,0,-1.0,0.5,1.0,1.0,2660.3723999999247
1.0,0.0,3.0,3.0,6.0,4.0,0.5,2,0,0.0,1,0,0,-1.0,0.42857142857142855,1.0,1.0,3160.442399999993
1.0,0.0,3.0,3.0,6.0,4.0,0.5,3,0,0.0,2,0,0,-1.0,0.36,1.0,1.0,3910.547400000026
1.0,0.0,3.0,3.0,6.0,4.0,0.5,4,0,0.0,3,0,0,-1.0,0.2967032967032967,1.0,1.0,4477.293400000013
1.0,0.0,3.0,3.0,6.0,4.0,0.5,5,0,0.0,4,0,0,-1.0,0.2403560830860534,1.0,1.0,5244.067399999945
1.0,0.0,3.0,3.0,6.0,4.0,0.5,6,0,1.0,5,0,0,-1.0,0.19179163378058406,1.0,1.0,6144.1933999999255
1.0,0.0,3.0,3.0,6.0,4.0,0.5,7,0,1.0,5,1,0,-1.0,0.24035608308605344,1.0,1.0,6644.263399999996
1.0,0.0,3.0,3.0,6.0,4.0,0.5,8,0,1.0,5,2,0,-1.0,0.2967032967032967,1.0,1.0,7144.6095000000205
1.0,0.0,3.0,3.0,6.0,4.0,0.5,9,1,1.0,5,3,0,-1.0,0.36000000000000004,1.0,1.0,11761.922499999822
1.0,0.0,3.0,4.0,16.0,24.0,0.3,1,0,1.0,0,0,0,-1.0,0.3,0.0,0.0,4310.834400000047
1.0,0.0,3.0,4.0,16.0,24.0,0.3,2,0,1.0,0,1,0,-1.0,0.36363636363636365,0.0,0.0,4810.90440000002
1.0,0.0,3.0,4.0,16.0,24.0,0.3,3,0,1.0,0,2,0,-1.0,0.43243243243243246,0.0,0.0,5310.9744000000655
1.0,0.0,3.0,4.0,16.0,24.0,0.3,4,0,1.0,0,3,0,-1.0,0.5039370078740157,0.0,0.0,5811.044400000074
1.0,0.0,3.0,4.0,16.0,24.0,0.3,5,0,1.0,0,4,0,-1.0,0.5752808988764044,0.0,0.0,6311.114400000098
1.0,0.0,3.0,4.0,16.0,24.0,0.3,6,0,1.0,0,5,0,-1.0,0.643620364550597,0.0,0.0,6827.853399999995
1.0,0.0,3.0,4.0,16.0,24.0,0.3,7,0,0.0,0,6,0,-1.0,0.7065723650163876,0.0,0.0,7928.007400000017
1.0,0.0,3.0,4.0,16.0,24.0,0.3,8,0,0.0,1,6,0,-1.0,0.6436203645505969,0.0,0.0,8428.077400000057
1.0,0.0,3.0,4.0,16.0,24.0,0.3,9,0,0.0,2,6,0,-1.0,0.5752808988764043,0.0,0.0,8928.147400000053
1.0,0.0,3.0,4.0,16.0,24.0,0.3,10,0,0.0,3,6,0,-1.0,0.5039370078740156,0.0,0.0,9428.217400000047
1.0,0.0,3.0,4.0,16.0,24.0,0.3,11,1,0.0,4,6,0,-1.0,0.4324324324324323,0.0,0.0,10411.688399999926
1.0,0.0,3.0,5.0,4.0,6.0,0.3,1,0,1.0,0,0,0,-1.0,0.3,1.0,1.0,3612.4627000000255
1.0,0.0,3.0,5.0,4.0,6.0,0.3,2,0,1.0,0,1,0,-1.0,0.36363636363636365,1.0,1.0,4145.870699999906
1.0,0.0,3.0,5.0,4.0,6.0,0.3,3,1,1.0,0,2,0,-1.0,0.43243243243243246,1.0,1.0,9896.67570000008
1.0,0.0,3.0,6.0,16.0,24.0,0.7,1,0,0.0,0,0,0,-1.0,0.7,0.0,0.0,4317.46789999993
1.0,0.0,3.0,6.0,16.0,24.0,0.7,2,1,0.0,1,0,0,-1.0,0.6363636363636362,0.0,0.0,5267.600899999929
1.0,0.0,3.0,7.0,6.0,4.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,0.0,0.0,8863.177900000059
1.0,0.0,3.0,7.0,6.0,4.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,0.0,0.0,9829.979900000062
1.0,0.0,3.0,7.0,6.0,4.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,0.0,0.0,11113.492899999992
1.0,0.0,3.0,7.0,6.0,4.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,0.0,0.0,11613.562899999966
1.0,0.0,3.0,7.0,6.0,4.0,0.1,5,0,1.0,0,4,0,-1.0,0.2598984771573604,0.0,0.0,12230.315899999978
1.0,0.0,3.0,7.0,6.0,4.0,0.1,6,0,1.0,0,5,0,-1.0,0.31890376829648087,0.0,0.0,12730.385899999996
1.0,0.0,3.0,7.0,6.0,4.0,0.1,7,0,0.0,0,6,0,-1.0,0.3843483156610678,0.0,0.0,13230.455900000004
1.0,0.0,3.0,7.0,6.0,4.0,0.1,8,0,0.0,1,6,0,-1.0,0.3189037682964808,0.0,0.0,13730.525899999957
1.0,0.0,3.0,7.0,6.0,4.0,0.1,9,0,0.0,2,6,0,-1.0,0.25989847715736036,0.0,0.0,14230.595899999907
1.0,0.0,3.0,7.0,6.0,4.0,0.1,10,0,0.0,3,6,0,-1.0,0.20846905537459282,0.0,0.0,14730.665899999869
1.0,0.0,3.0,7.0,6.0,4.0,0.1,11,0,1.0,4,6,0,-1.0,0.16494845360824742,0.0,0.0,15230.73589999992
1.0,0.0,3.0,7.0,6.0,4.0,0.1,12,0,1.0,4,7,0,-1.0,0.20846905537459284,0.0,0.0,15730.805899999998
1.0,0.0,3.0,7.0,6.0,4.0,0.1,13,0,0.0,4,8,0,-1.0,0.2598984771573604,0.0,0.0,16230.87589999996
1.0,0.0,3.0,7.0,6.0,4.0,0.1,14,0,0.0,5,8,0,-1.0,0.20846905537459284,0.0,0.0,16997.649899999946
1.0,0.0,3.0,7.0,6.0,4.0,0.1,15,0,0.0,6,8,0,-1.0,0.16494845360824745,0.0,0.0,17499.386799999906
1.0,0.0,3.0,7.0,6.0,4.0,0.1,16,0,1.0,7,8,0,-1.0,0.12903225806451615,0.0,0.0,17999.456799999858
1.0,0.0,3.0,7.0,6.0,4.0,0.1,17,0,1.0,7,9,0,-1.0,0.16494845360824745,0.0,0.0,18499.52679999991
1.0,0.0,3.0,7.0,6.0,4.0,0.1,18,0,1.0,7,10,0,-1.0,0.20846905537459284,0.0,0.0,19232.962799999925
1.0,0.0,3.0,7.0,6.0,4.0,0.1,19,0,1.0,7,11,0,-1.0,0.2598984771573604,0.0,0.0,19733.03279999988
1.0,0.0,3.0,7.0,6.0,4.0,0.1,20,0,0.0,7,12,0,-1.0,0.31890376829648087,0.0,0.0,20233.102799999808
1.0,0.0,3.0,7.0,6.0,4.0,0.1,21,0,0.0,8,12,0,-1.0,0.2598984771573604,0.0,0.0,20733.172799999786
1.0,0.0,3.0,7.0,6.0,4.0,0.1,22,0,1.0,9,12,0,-1.0,0.20846905537459284,0.0,0.0,21499.946799999776
1.0,0.0,3.0,7.0,6.0,4.0,0.1,23,0,1.0,9,13,0,-1.0,0.2598984771573604,0.0,0.0,22000.016799999838
1.0,0.0,3.0,7.0,6.0,4.0,0.1,24,0,1.0,9,14,0,-1.0,0.31890376829648087,0.0,0.0,22500.08679999979
1.0,0.0,3.0,7.0,6.0,4.0,0.1,25,0,1.0,9,15,0,-1.0,0.3843483156610678,0.0,0.0,23000.15679999983
1.0,0.0,3.0,7.0,6.0,4.0,0.1,26,0,0.0,9,16,0,-1.0,0.45426567222114395,0.0,0.0,23500.22679999969
1.0,0.0,3.0,7.0,6.0,4.0,0.1,27,1,0.0,10,16,0,-1.0,0.3843483156610678,0.0,0.0,25233.80279999972
1.0,0.0,3.0,8.0,8.0,12.0,0.9,1,0,0.0,0,0,0,-1.0,0.9,0.0,0.0,2777.3017999999565
1.0,0.0,3.0,8.0,8.0,12.0,0.9,2,0,0.0,1,0,0,-1.0,0.8709677419354839,0.0,0.0,3360.71679999995
1.0,0.0,3.0,8.0,8.0,12.0,0.9,3,0,0.0,2,0,0,-1.0,0.8350515463917526,0.0,0.0,3860.7867999998766
1.0,0.0,3.0,8.0,8.0,12.0,0.9,4,1,0.0,3,0,0,-1.0,0.7915309446254072,0.0,0.0,4644.22979999991
1.0,0.0,3.0,9.0,32.0,48.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,2943.745399999947
1.0,0.0,3.0,9.0,32.0,48.0,0.1,2,0,0.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,6310.883399999952
1.0,0.0,3.0,9.0,32.0,48.0,0.1,3,0,0.0,1,1,0,-1.0,0.09999999999999999,1.0,1.0,6994.5697999999975
1.0,0.0,3.0,9.0,32.0,48.0,0.1,4,1,1.0,2,1,0,-1.0,0.07692307692307693,1.0,1.0,9478.25079999995
1.0,0.0,3.0,10.0,8.0,12.0,0.1,1,0,1.0,0,0,0,-1.0,0.1,1.0,1.0,2510.351399999963
1.0,0.0,3.0,10.0,8.0,12.0,0.1,2,0,1.0,0,1,0,-1.0,0.12903225806451613,1.0,1.0,3010.42140000002
1.0,0.0,3.0,10.0,8.0,12.0,0.1,3,0,1.0,0,2,0,-1.0,0.16494845360824742,1.0,1.0,4160.582400000025
1.0,0.0,3.0,10.0,8.0,12.0,0.1,4,0,1.0,0,3,0,-1.0,0.20846905537459284,1.0,1.0,4994.032399999946
